ticker,contract_symbol,contract_type,strike,expiration,volume,open_interest,open,high,low,close,vwap
QQQ,O:QQQ260922C00500000,call,500,2026-09-22,,0,,,,,
QQQ,O:QQQ260922P00500000,put,500,2026-09-22,2.0,95,0.02,0.02,0.02,0.02,0.02
QQQ,O:QQQ260922C00505000,call,505,2026-09-22,8.0,0,236.74,236.74,236.74,236.74,236.74
QQQ,O:QQQ260922P00505000,put,505,2026-09-22,1200.0,53,0.02,0.05,0.02,0.03,0.03233
QQQ,O:QQQ260922C00510000,call,510,2026-09-22,,0,,,,,
QQQ,O:QQQ260922P00510000,put,510,2026-09-22,860.0,52,0.03,0.06,0.03,0.04,0.04477
QQQ,O:QQQ260922C00515000,call,515,2026-09-22,,0,,,,,
QQQ,O:QQQ260922P00515000,put,515,2026-09-22,6.0,64,0.01,0.01,0.01,0.01,0.01
QQQ,O:QQQ260922C00520000,call,520,2026-09-22,,0,,,,,
QQQ,O:QQQ260922P00520000,put,520,2026-09-22,383.0,799,0.01,0.01,0.01,0.01,0.01
QQQ,O:QQQ260922C00525000,call,525,2026-09-22,,0,,,,,
QQQ,O:QQQ260922P00525000,put,525,2026-09-22,1.0,65,0.01,0.01,0.01,0.01,0.01
QQQ,O:QQQ260922C00530000,call,530,2026-09-22,,0,,,,,
QQQ,O:QQQ260922P00530000,put,530,2026-09-22,23.0,140,0.01,0.01,0.01,0.01,0.01
QQQ,O:QQQ260922C00535000,call,535,2026-09-22,,0,,,,,
QQQ,O:QQQ260922P00535000,put,535,2026-09-22,50.0,53,0.05,0.05,0.05,0.05,0.05
QQQ,O:QQQ260922C00540000,call,540,2026-09-22,,0,,,,,
QQQ,O:QQQ260922P00540000,put,540,2026-09-22,1.0,45,0.02,0.02,0.02,0.02,0.02
QQQ,O:QQQ260922C00545000,call,545,2026-09-22,,0,,,,,
QQQ,O:QQQ260922P00545000,put,545,2026-09-22,240.0,111,0.02,0.03,0.02,0.03,0.02958
QQQ,O:QQQ260922C00550000,call,550,2026-09-22,,0,,,,,
QQQ,O:QQQ260922P00550000,put,550,2026-09-22,1.0,1,0.01,0.01,0.01,0.01,0.01
QQQ,O:QQQ260922C00555000,call,555,2026-09-22,,0,,,,,
QQQ,O:QQQ260922P00555000,put,555,2026-09-22,160.0,72,0.03,0.03,0.02,0.03,0.02938
QQQ,O:QQQ260922C00560000,call,560,2026-09-22,,0,,,,,
QQQ,O:QQQ260922P00560000,put,560,2026-09-22,794.0,794,0.03,0.03,0.03,0.03,0.03
QQQ,O:QQQ260922C00565000,call,565,2026-09-22,,0,,,,,
QQQ,O:QQQ260922P00565000,put,565,2026-09-22,40.0,3216,0.01,0.02,0.01,0.02,0.0175
QQQ,O:QQQ260922C00570000,call,570,2026-09-22,,0,,,,,
QQQ,O:QQQ260922P00570000,put,570,2026-09-22,6.0,180,0.02,0.02,0.02,0.02,0.02
QQQ,O:QQQ260922C00575000,call,575,2026-09-22,,0,,,,,
QQQ,O:QQQ260922P00575000,put,575,2026-09-22,2.0,606,0.01,0.01,0.01,0.01,0.01
QQQ,O:QQQ260922C00580000,call,580,2026-09-22,,0,,,,,
QQQ,O:QQQ260922P00580000,put,580,2026-09-22,1.0,2943,0.02,0.02,0.02,0.02,0.02
QQQ,O:QQQ260922C00585000,call,585,2026-09-22,,0,,,,,
QQQ,O:QQQ260922P00585000,put,585,2026-09-22,5.0,117,0.01,0.01,0.01,0.01,0.01
QQQ,O:QQQ260922C00590000,call,590,2026-09-22,,0,,,,,
QQQ,O:QQQ260922P00590000,put,590,2026-09-22,10.0,81,0.01,0.01,0.01,0.01,0.01
QQQ,O:QQQ260922C00595000,call,595,2026-09-22,,0,,,,,
QQQ,O:QQQ260922P00595000,put,595,2026-09-22,3.0,735,0.02,0.02,0.02,0.02,0.02
QQQ,O:QQQ260922C00600000,call,600,2026-09-22,10.0,0,136.2,136.2,136.2,136.2,136.2
QQQ,O:QQQ260922P00600000,put,600,2026-09-22,39.0,70,0.01,0.01,0.01,0.01,0.01
QQQ,O:QQQ260922C00605000,call,605,2026-09-22,,0,,,,,
QQQ,O:QQQ260922P00605000,put,605,2026-09-22,103.0,112,0.02,0.02,0.01,0.01,0.01029
QQQ,O:QQQ260922C00610000,call,610,2026-09-22,,0,,,,,
QQQ,O:QQQ260922P00610000,put,610,2026-09-22,504.0,144,0.01,0.01,0.01,0.01,0.01
QQQ,O:QQQ260922C00615000,call,615,2026-09-22,,0,,,,,
QQQ,O:QQQ260922P00615000,put,615,2026-09-22,765.0,29,0.01,0.02,0.01,0.01,0.01047
QQQ,O:QQQ260922C00620000,call,620,2026-09-22,,0,,,,,
QQQ,O:QQQ260922P00620000,put,620,2026-09-22,854.0,392,0.01,0.02,0.01,0.01,0.01001
QQQ,O:QQQ260922C00625000,call,625,2026-09-22,,0,,,,,
QQQ,O:QQQ260922P00625000,put,625,2026-09-22,493.0,165,0.01,0.02,0.01,0.01,0.01006
QQQ,O:QQQ260922C00630000,call,630,2026-09-22,2.0,0,111.37,111.37,111.37,111.37,111.37
QQQ,O:QQQ260922P00630000,put,630,2026-09-22,489.0,272,0.02,0.02,0.01,0.01,0.01057
QQQ,O:QQQ260922C00635000,call,635,2026-09-22,,0,,,,,
QQQ,O:QQQ260922P00635000,put,635,2026-09-22,579.0,52,0.01,0.02,0.01,0.01,0.01007
QQQ,O:QQQ260922C00640000,call,640,2026-09-22,,0,,,,,
QQQ,O:QQQ260922P00640000,put,640,2026-09-22,481.0,165,0.01,0.02,0.01,0.01,0.01037
QQQ,O:QQQ260922C00645000,call,645,2026-09-22,2.0,0,71.96,72.03,71.96,72.03,71.995
QQQ,O:QQQ260922P00645000,put,645,2026-09-22,16.0,238,0.01,0.01,0.01,0.01,0.01
QQQ,O:QQQ260922C00650000,call,650,2026-09-22,1.0,0,69.37,69.37,69.37,69.37,69.37
QQQ,O:QQQ260922P00650000,put,650,2026-09-22,6.0,286,0.01,0.02,0.01,0.01,0.01333
QQQ,O:QQQ260922C00655000,call,655,2026-09-22,2.0,0,61.98,61.98,61.98,61.98,61.98
QQQ,O:QQQ260922P00655000,put,655,2026-09-22,7.0,490,0.02,0.02,0.02,0.02,0.02
