ticker,source_timestamp,spot,strike,percent_from_spot,net_gex,total_gex,call_gex,put_gex,call_oi,put_oi,total_oi,call_contracts,put_contracts,expirations,call_volume,put_volume,total_volume,flow_trades,flow_size,flow_premium,flow_net_premium,flow_call_premium,flow_put_premium,flow_sweep_count,flow_block_count,flow_avg_heat
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,641.0,-13.465497573388955,-218687.2045735917,221197.50155501522,1255.148490711767,-219942.35306430346,2.0,295.0,297.0,3,3,3,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,642.0,-13.330498349634489,-43930.88336119894,52486.00576352718,4277.561201164119,-48208.44456236306,6.0,57.0,63.0,3,3,3,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,643.0,-13.195499125880028,-64342.58177710599,76031.54061998303,5844.4794214385165,-70187.0611985445,8.0,80.0,88.0,3,3,3,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,644.0,-13.060499902125564,-60078.81610072825,69925.69788695559,4923.440893113673,-65002.25699384192,6.0,80.0,86.0,3,3,3,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,645.0,-12.9255006783711,-36954606.840780616,66760763.208792225,14903078.184005806,-51857685.02478642,14910.0,57738.0,72648.0,30,30,30,2.0,16.0,18.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,646.0,-12.790501454616637,-50057.8848337825,64179.11394184126,7060.61455402938,-57118.49938781188,11.0,64.0,75.0,3,3,3,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,647.0,-12.655502230862172,-163489.89439078333,171865.16355205618,4187.634580636421,-167677.52897141973,5.0,229.0,234.0,3,3,3,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,648.0,-12.520503007107708,-226864.0824061473,252212.00029249646,12673.958943174577,-239538.0413493219,18.0,284.0,302.0,3,3,3,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,649.0,-12.385503783353247,-124629.59550031775,142200.94486842453,8785.674684053385,-133415.27018437115,13.0,140.0,153.0,3,3,3,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,650.0,-12.250504559598783,-160719764.76974142,239826963.39294046,39553599.31159952,-200273364.08134094,38903.0,224267.0,263170.0,30,30,30,1.0,6.0,7.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,651.0,-12.115505335844318,-618164.3680606375,628656.6694508054,5246.15069508392,-623410.5187557215,8.0,816.0,824.0,4,4,4,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,652.0,-11.980506112089856,-805606.2916891177,993554.1521008584,93973.93020587033,-899580.2218949881,110.0,1102.0,1212.0,4,4,4,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,653.0,-11.845506888335393,-727641.1137183143,898109.1308469669,85234.0085643262,-812875.1222826407,105.0,973.0,1078.0,4,4,4,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,654.0,-11.71050766458093,-791482.7187735689,820354.0731545964,14435.67719051374,-805918.3959640826,20.0,885.0,905.0,4,4,4,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,655.0,-11.575508440826464,-62454920.089230224,103541922.18521702,20543501.047993403,-82998421.13722363,18693.0,88607.0,107300.0,30,30,30,2.0,7.0,9.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,656.0,-11.440509217072002,-1904644.2926308205,2189183.4594998714,142269.58343452535,-2046913.876065346,138.0,2206.0,2344.0,4,4,4,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,657.0,-11.30550999331754,-807880.2266992625,855997.655610221,24058.71445547925,-831938.9411547418,27.0,970.0,997.0,4,4,4,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,658.0,-11.170510769563077,-651221.309217457,690208.8929975095,19493.791890026296,-670715.1011074833,22.0,730.0,752.0,4,4,4,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,659.0,-11.035511545808612,-941033.836365723,1051794.0664480592,55380.11504116806,-996413.9514068911,76.0,941.0,1017.0,5,5,5,0.0,2.0,2.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,660.0,-10.900512322054148,-371585674.78660464,458039098.68536484,43226711.94938012,-414812386.7359847,36326.0,341742.0,378068.0,30,30,30,2.0,31.0,33.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,661.0,-10.765513098299685,-1062767.0567401405,1115937.2674617257,26585.105360792557,-1089352.162100933,24.0,1410.0,1434.0,8,8,8,0.0,4.0,4.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,662.0,-10.630513874545223,-3243611.6392481527,3326211.9287330257,41300.14474243663,-3284911.783990589,67.0,3662.0,3729.0,8,8,8,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,663.0,-10.495514650790758,-1310163.9892960808,1342300.9403798566,16068.47554188796,-1326232.4648379686,17.0,1477.0,1494.0,8,8,8,0.0,20.0,20.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,664.0,-10.360515427036294,-2883271.019644429,3051074.396070465,83901.68821301806,-2967172.707857447,100.0,3072.0,3172.0,8,8,8,0.0,4.0,4.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,665.0,-10.225516203281831,-63932878.077860355,113017914.53727406,24542518.229706854,-88475396.30756721,19741.0,108165.0,127906.0,30,30,30,7.0,48.0,55.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,666.0,-10.090516979527369,-1483577.086076671,1546370.845136776,31396.879530052498,-1514973.9656067237,26.0,2716.0,2742.0,10,10,10,28.0,12.0,40.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,667.0,-9.955517755772906,-1702041.5086945565,1817781.4584933985,57869.97489942102,-1759911.4835939775,55.0,2743.0,2798.0,11,11,11,2.0,23.0,25.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,668.0,-9.820518532018442,-1718486.451128519,1824759.388514497,53136.46869298908,-1771622.919821508,50.0,2271.0,2321.0,11,11,11,2.0,8.0,10.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,669.0,-9.685519308263977,-1809477.3574457811,1874396.9225567842,32459.782555501537,-1841937.1400012828,30.0,2956.0,2986.0,11,11,11,1.0,14.0,15.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,670.0,-9.550520084509515,-153006340.9912186,224501316.2498199,35747487.62930067,-188753828.62051925,26993.0,149985.0,176978.0,30,30,30,31.0,91.0,122.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,671.0,-9.415520860755052,-1981519.1101680691,2111337.063147011,64908.97648947102,-2046428.0866575402,51.0,3226.0,3277.0,11,11,11,8.0,3.0,11.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,672.0,-9.280521637000588,-1766219.9136821714,2264987.7284325683,249383.90737519838,-2015603.8210573697,214.0,3252.0,3466.0,11,11,11,6.0,143.0,149.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,673.0,-9.145522413246123,-6113006.048095737,6549054.071609772,218024.0117570174,-6331030.059852754,168.0,5525.0,5693.0,11,11,11,4.0,1387.0,1391.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,674.0,-9.01052318949166,-5239757.203978838,5500003.3160291985,130123.05602517977,-5369880.260004018,100.0,5650.0,5750.0,11,11,11,4.0,927.0,931.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,675.0,-8.875523965737198,-128922443.17221487,178018715.94893017,24548136.388357654,-153470579.56057253,17739.0,113643.0,131382.0,30,30,30,1.0,2478.0,2479.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,676.0,-8.740524741982734,-27050861.76353407,27355601.862851407,152370.04965866936,-27203231.813192736,106.0,27344.0,27450.0,14,14,14,46.0,1068.0,1114.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,677.0,-8.605525518228271,-11534575.929924324,12412327.80256073,438875.936318203,-11973451.866242526,292.0,9221.0,9513.0,14,14,14,6.0,251.0,257.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,678.0,-8.470526294473807,-4671640.273314476,5085362.215693442,206860.97118948278,-4878501.244503959,165.0,4108.0,4273.0,14,14,14,16.0,72.0,88.0,0,0,0,0,0,0,0,0,0
