ticker,source_timestamp,spot,strike,percent_from_spot,net_gex,total_gex,call_gex,put_gex,call_oi,put_oi,total_oi,call_contracts,put_contracts,expirations,collected_at_utc
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,642.0,-13.422832367993415,-43547.02515334402,52053.78170243766,4253.378274546822,-47800.40342789084,6.0,57.0,63.0,3,3,3,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,643.0,-13.287976966697453,-63760.58061032791,75440.90932421331,5840.164356942705,-69600.74496727061,8.0,80.0,88.0,3,3,3,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,644.0,-13.153121565401493,-59528.370030541846,69282.83368527915,4877.231827368651,-64405.6018579105,6.0,80.0,86.0,3,3,3,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,645.0,-13.018266164105535,-36667672.15803979,66287635.896416545,14809981.869188376,-51477654.02722817,14910.0,57738.0,72648.0,30,30,30,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,646.0,-12.883410762809575,-49416.18417562754,63489.12204624428,7036.468935308371,-56452.65311093591,11.0,64.0,75.0,3,3,3,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,647.0,-12.748555361513613,-163330.1826932025,171657.5062707075,4163.661788752488,-167493.84448195502,5.0,229.0,234.0,3,3,3,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,648.0,-12.613699960217653,-225126.60658210254,250481.047986652,12677.220702274713,-237803.82728437727,18.0,284.0,302.0,3,3,3,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,649.0,-12.478844558921692,-123332.3646159607,140844.57168088746,8756.103532463381,-132088.4681484241,13.0,140.0,153.0,3,3,3,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,650.0,-12.343989157625732,-159440555.82462198,238041925.42249414,39300684.798936084,-198741240.62355807,38903.0,224267.0,263170.0,30,30,30,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,651.0,-12.209133756329772,-613427.1696514179,623856.7991938639,5214.814771222988,-618641.9844226409,8.0,816.0,824.0,4,4,4,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,652.0,-12.074278355033812,-797952.4070407534,984223.7447166949,93135.66883797076,-891088.0758787242,110.0,1102.0,1212.0,4,4,4,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,653.0,-11.93942295373785,-719574.6155799967,888170.109539841,84297.74697992211,-803872.3625599189,105.0,973.0,1078.0,4,4,4,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,654.0,-11.80456755244189,-782486.6381921378,811033.8570922773,14273.609450069755,-796760.2476422075,20.0,885.0,905.0,4,4,4,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,655.0,-11.66971215114593,-61971268.62531146,102812406.80650851,20420569.09059853,-82391837.71590999,18693.0,88607.0,107300.0,30,30,30,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,656.0,-11.53485674984997,-1886961.3649797763,2168602.8978608395,140820.76644053173,-2027782.131420308,138.0,2206.0,2344.0,4,4,4,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,657.0,-11.400001348554008,-799608.4917869981,847238.2886691673,23814.89844108464,-823423.3902280827,27.0,970.0,997.0,4,4,4,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,658.0,-11.265145947258048,-644454.7362589868,683035.3654545227,19290.31459776795,-663745.0508567546,22.0,730.0,752.0,4,4,4,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,659.0,-11.130290545962088,-929981.2652338138,1039903.8203342792,54961.27755023263,-984942.5427840465,76.0,941.0,1017.0,5,5,5,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,660.0,-10.995435144666128,-368580120.5332714,454461219.97680074,42940549.7217647,-411520670.25503606,36326.0,341742.0,378068.0,30,30,30,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,661.0,-10.860579743370167,-1055159.52946521,1107767.6785796783,26304.074557234253,-1081463.6040224442,24.0,1410.0,1434.0,8,8,8,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,662.0,-10.725724342074207,-3213904.0000707246,3295427.57941752,40761.789673397754,-3254665.7897441224,67.0,3662.0,3729.0,8,8,8,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,663.0,-10.590868940778247,-1297884.816460735,1329786.8144116476,15950.998975456341,-1313835.8154361912,17.0,1477.0,1494.0,8,8,8,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,664.0,-10.456013539482287,-2850413.8322699126,3016764.675616539,83175.42167331338,-2933589.253943226,100.0,3072.0,3172.0,8,8,8,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,665.0,-10.321158138186327,-63349924.60740714,112146583.1378962,24398329.26524453,-87748253.87265167,19741.0,108165.0,127906.0,30,30,30,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,666.0,-10.186302736890365,-1476442.716411985,1538609.653158606,31083.468373310465,-1507526.1847852955,26.0,2716.0,2742.0,10,10,10,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,667.0,-10.051447335594405,-1696541.411983234,1811070.005961049,57264.29698890743,-1753805.7089721416,55.0,2743.0,2798.0,11,11,11,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,668.0,-9.916591934298445,-1707245.140528068,1812716.3475925182,52735.60353222528,-1759980.744060293,50.0,2271.0,2321.0,11,11,11,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,669.0,-9.781736533002485,-1813248.6516647362,1877590.1020568553,32170.725196059524,-1845419.3768607958,30.0,2956.0,2986.0,11,11,11,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,670.0,-9.646881131706524,-151326601.66275516,222398287.95425653,35535843.14575067,-186862444.80850586,26993.0,149985.0,176978.0,30,30,30,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,671.0,-9.512025730410564,-1978307.2618575436,2106547.703091152,64120.2206168042,-2042427.4824743478,51.0,3226.0,3277.0,11,11,11,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,672.0,-9.377170329114604,-1746225.9114078544,2239242.121878623,246508.1052353842,-1992734.0166432387,214.0,3252.0,3466.0,11,11,11,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,673.0,-9.242314927818644,-6044368.371092177,6475414.381597887,215523.00525285534,-6259891.376345032,168.0,5525.0,5693.0,11,11,11,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,674.0,-9.107459526522682,-5172247.411802177,5428564.274761298,128158.43147956021,-5300405.8432817375,100.0,5650.0,5750.0,11,11,11,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,675.0,-8.972604125226722,-127628881.39823997,176413522.39656985,24392320.49916494,-152021201.8974049,17739.0,113643.0,131382.0,30,30,30,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,676.0,-8.837748723930762,-26897067.089836515,27198044.51861876,150488.7143911222,-27047555.804227635,106.0,27344.0,27450.0,14,14,14,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,677.0,-8.702893322634802,-11447448.117485723,12312991.655974792,432771.76924453455,-11880219.886730257,292.0,9221.0,9513.0,14,14,14,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,678.0,-8.56803792133884,-4628736.86296488,5038201.102709771,204732.11987244515,-4833468.982837326,165.0,4108.0,4273.0,14,14,14,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,679.0,-8.43318252004288,-3892276.085115882,4549214.913797135,328469.41434062656,-4220745.499456509,214.0,3736.0,3950.0,14,14,14,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,680.0,-8.298327118746919,-351131958.16764754,474543935.378975,61705988.60566374,-412837946.77331126,41239.0,264312.0,305551.0,30,30,30,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,681.0,-8.16347171745096,-18744756.212179065,19233980.057301316,244611.92256112493,-18989368.134740192,200.0,18855.0,19055.0,14,14,14,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,682.0,-8.028616316154999,-7799760.3605857985,8612907.157035207,406573.39822470443,-8206333.758810503,264.0,7000.0,7264.0,14,14,14,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,683.0,-7.893760914859039,-8235811.768828088,8955481.872980159,359835.0520760355,-8595646.820904123,214.0,9079.0,9293.0,14,14,14,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,684.0,-7.758905513563078,-3601503.0193679356,4255486.068652793,326991.5246424286,-3928494.544010364,213.0,4156.0,4369.0,14,14,14,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,685.0,-7.624050112267118,-70646686.06143346,116096160.73188451,22724737.335225523,-93371423.39665899,14578.0,63940.0,78518.0,30,30,30,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,686.0,-7.489194710971157,-5471459.001820538,6530201.608927841,529371.3035536513,-6000830.305374189,322.0,5727.0,6049.0,14,14,14,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,687.0,-7.354339309675197,-24841731.070981126,26329660.612120014,743964.7705694443,-25585695.841550566,472.0,20949.0,21421.0,14,14,14,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,688.0,-7.219483908379236,-5811274.792653709,6444094.139788099,316409.67356719467,-6127684.466220903,171.0,5701.0,5872.0,14,14,14,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,689.0,-7.084628507083276,-9990868.633159714,11547853.769457208,778492.5681487472,-10769361.20130846,443.0,7470.0,7913.0,14,14,14,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,690.0,-6.949773105787315,-332613117.86911523,465638310.83585244,66512596.483368605,-399125714.3524838,38381.0,272762.0,311143.0,30,30,30,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,691.0,-6.814917704491355,-5778469.024930852,6828002.301006136,524766.6380376418,-6303235.662968495,287.0,4587.0,4874.0,14,14,14,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,692.0,-6.6800623031953945,-5040721.333568614,7202309.120265573,1080793.8933484794,-6121515.226917094,510.0,4561.0,5071.0,14,14,14,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,693.0,-6.5452069018994345,-9347954.221103065,10932818.94445722,792432.3616770777,-10140386.582780143,356.0,7276.0,7632.0,14,14,14,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,694.0,-6.410351500603475,-5796419.168912003,7871263.472919306,1037422.1520036511,-6833841.320915654,502.0,4502.0,5004.0,14,14,14,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,695.0,-6.275496099307514,-193287476.5858451,236665273.64957353,21688898.531864204,-214976375.11770934,12675.0,105733.0,118408.0,30,30,30,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,696.0,-6.140640698011554,-14614445.31436006,16178032.892889924,781793.7892649325,-15396239.103624992,336.0,9907.0,10243.0,14,14,14,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,697.0,-6.005785296715593,-8559520.192911875,11043572.018628083,1242025.9128581046,-9801546.105769979,588.0,7265.0,7853.0,14,14,14,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,698.0,-5.870929895419632,-6537008.768306472,9348868.855508024,1405930.0436007755,-7942938.811907249,582.0,4807.0,5389.0,14,14,14,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,699.0,-5.736074494123672,-12246002.31516687,14961191.146874942,1357594.4158540363,-13603596.731020907,588.0,9296.0,9884.0,14,14,14,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,700.0,-5.601219092827711,-421774536.45725745,811126671.6683446,194676067.60554355,-616450604.062801,100997.0,304701.0,405698.0,31,31,31,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,701.0,-5.466363691531751,-8805850.618981514,14441845.185092581,2817997.2830555337,-11623847.902037049,1095.0,6919.0,8014.0,14,14,14,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,702.0,-5.33150829023579,-29979744.906973355,37902162.77800214,3961208.9355143933,-33940953.842487745,1647.0,14522.0,16169.0,15,15,15,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,703.0,-5.1966528889398305,-9920920.708062766,17757017.00743812,3918048.1496876776,-13838968.857750442,1523.0,7194.0,8717.0,15,15,15,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,704.0,-5.06179748764387,-12694648.304229999,22688933.74752294,4997142.721646469,-17691791.02587647,1953.0,8164.0,10117.0,14,14,14,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,705.0,-4.92694208634791,-314542535.8702092,447689217.04355866,66573340.58667471,-381115876.45688397,29453.0,149830.0,179283.0,31,31,31,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,706.0,-4.792086685051949,-12785553.680178944,29275572.541857745,8245009.430839403,-21030563.111018345,2821.0,9058.0,11879.0,15,15,15,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,707.0,-4.657231283755989,-19985577.56621953,41605449.496550255,10809935.965165362,-30795513.531384893,3540.0,11825.0,15365.0,15,15,15,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,708.0,-4.522375882460028,-20727278.617992353,45634261.86043595,12453491.621221796,-33180770.239214152,3970.0,12832.0,16802.0,15,15,15,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,709.0,-4.387520481164068,-20782220.682786588,46675019.66454744,12946399.490880428,-33728620.17366702,4012.0,12250.0,16262.0,15,15,15,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,710.0,-4.252665079868107,-169005037.80006874,434001453.4399644,132498207.81994784,-301503245.6200166,48780.0,111821.0,160601.0,31,31,31,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,711.0,-4.117809678572147,-13355934.314234667,47722435.3345029,17183250.510134116,-30539184.824368782,5392.0,9417.0,14809.0,14,14,14,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,712.0,-3.9829542772761863,-16065567.695307655,114155116.99285738,49044774.64877486,-65110342.34408252,13315.0,18272.0,31587.0,14,14,14,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,713.0,-3.8480988759802264,-76466926.25473885,108090434.454365,15811754.09981308,-92278680.35455193,4398.0,25217.0,29615.0,15,15,15,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,714.0,-3.7132434746842655,-23676915.718698878,74131122.32424921,25227103.302775163,-48904019.02147404,6822.0,14588.0,21410.0,15,15,15,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,715.0,-3.5783880733883056,-150288530.96881416,571815727.6370784,210763598.33413213,-361052129.30294627,71510.0,126939.0,198449.0,31,31,31,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,716.0,-3.4435326720923447,-49962521.822276935,174286893.80157542,62162185.98964924,-112124707.81192619,15043.0,27793.0,42836.0,15,15,15,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,717.0,-3.3086772707963847,-27910419.51820092,173761130.90255794,72925355.69217852,-100835775.21037944,17361.0,24175.0,41536.0,15,15,15,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,718.0,-3.173821869500424,-36806779.49547804,198318860.2611563,80756040.38283913,-117562819.87831718,20782.0,30805.0,51587.0,15,15,15,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,719.0,-3.0389664682044635,8168844.823284512,105071296.8235294,56620070.823406965,-48451226.00012245,14514.0,15274.0,29788.0,15,15,15,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,720.0,-2.904111066908503,342553650.44642717,812905840.6765684,577729745.5614978,-235176095.1150706,147517.0,84139.0,231656.0,31,31,31,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,721.0,-2.7692556656125427,185048104.6680887,237206064.41974863,211127084.54391867,-26078979.875829965,41473.0,6265.0,47738.0,15,15,15,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,722.0,-2.6344002643165823,44375681.08839818,92826365.78374994,68601023.43607406,-24225342.34767588,16567.0,5901.0,22468.0,15,15,15,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,723.0,-2.499544863020622,47335769.94706273,81000073.5433688,64167921.745215766,-16832151.79815304,14118.0,3463.0,17581.0,15,15,15,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,724.0,-2.3646894617246614,46040729.530056715,71367735.77312645,58704232.651591584,-12663503.121534865,12623.0,2548.0,15171.0,15,15,15,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,725.0,-2.2298340604287015,522448058.6023606,907033543.4558606,714740801.0291106,-192292742.42675,142445.0,72397.0,214842.0,31,31,31,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,726.0,-2.094978659132741,142371201.18183398,164427803.31386906,153399502.24785152,-11028301.06601753,24002.0,2188.0,26190.0,15,15,15,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,727.0,-1.9601232578367804,97677469.00792241,111491283.15331636,104584376.08061938,-6906907.0726969745,15570.0,1236.0,16806.0,15,15,15,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,728.0,-1.8252678565408198,87997510.0067967,108116311.06000751,98056910.53340212,-10059400.526605405,14630.0,1840.0,16470.0,15,15,15,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,729.0,-1.6904124552448594,140250259.54292288,152662330.39518496,146456294.96905392,-6206035.426131041,18257.0,820.0,19077.0,15,15,15,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,730.0,-1.5555570539488992,648793367.7228528,955131181.3854885,801962274.5541706,-153168906.8313178,162177.0,51633.0,213810.0,31,31,31,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,731.0,-1.4207016526529388,149881949.00721484,163477740.62852064,156679844.81786773,-6797895.810652897,17763.0,1054.0,18817.0,15,15,15,2026-09-21T20:23:54.272025+00:00
QQQ,2026-09-21 19:55:16.756474244+00:00,741.535,732.0,-1.2858462513569784,243664669.64763603,256288772.59407154,249976721.12085378,-6312051.473217761,23748.0,810.0,24558.0,15,15,15,2026-09-21T20:23:54.272025+00:00
