snapshot_utc,snapshot_vn,ticker,expiry,spot,avg_iv_pct,net_gex,net_dex,call_resistance,put_support,gamma_wall,gamma_flip,dex_wall,delta_flip,total_call_gex,total_put_gex,total_call_dex,total_put_dex
2026-08-20T16:52:08+00:00,2026-08-20T23:52:08+07:00,QQQ,2026-08-20,712.38,135.5221331131609,-2149435573.7475176,-2427608012.7120256,713.0,711.0,714.0,707.3165187541686,714.0,712.173893008711,274262238.57491213,-2423697812.3224297,181923995.47643396,-2609532008.18846
2026-08-21T14:02:12+00:00,2026-08-21T21:02:12+07:00,QQQ,2026-08-21,710.86,137.6829119205475,-2967362043.6604633,4227619237.177703,715.0,710.0,710.0,708.38487893749,700.0,,3581826977.0374813,-6549189020.697945,12435694146.595125,-8208074909.417424
2026-08-24T14:07:01+00:00,2026-08-24T21:07:01+07:00,QQQ,2026-08-24,703.72,89.712405142558,-1637923475.0584707,-3574139366.924158,705.0,703.0,705.0,693.1490083668295,710.0,701.592761988901,88529734.66133691,-1726453209.7198079,105886657.33548304,-3680026024.2596407
2026-08-25T14:09:51+00:00,2026-08-25T21:09:51+07:00,QQQ,2026-08-25,710.31,101.34007947522178,826529350.6331704,1582675872.4066856,712.0,710.0,712.0,500.00001870278373,707.0,500.00000000137084,2274439897.146334,-1447910546.513164,1997851533.2204807,-415175660.81379545
2026-08-26T09:48:57+00:00,2026-08-26T16:48:57+07:00,QQQ,2026-08-26,709.5012,67.32037988891791,-659068489.9516537,169311915.6423896,711.0,709.0,709.0,708.0101814213108,695.0,500.005968997234,605509310.9935042,-1264577800.9451575,939448113.0523051,-770136197.4099154
2026-08-26T10:04:54+00:00,2026-08-26T17:04:54+07:00,NDX,2026-08-26,29209.229,33.74481513488225,-213495583.93996242,288692880.3124256,29250.0,29200.0,29025.0,29236.303327788773,29025.0,23000.030424058343,715275728.9840349,-928771312.9239974,1389021709.6938806,-1100328829.381455
2026-08-26T23:20:55+00:00,2026-08-27T06:20:55+07:00,QQQ,2026-08-26,718.36,79.11526764110234,1444632426.5414336,3983514827.010317,719.0,712.0,718.0,717.1883622311351,716.0,,1827354693.540091,-382722266.9986574,4362639235.474737,-379124408.46442014
2026-08-26T23:21:01+00:00,2026-08-27T06:21:01+07:00,NDX,2026-08-26,29224.521,82.83079514232463,-2957362654.689321,666803755.4333892,29230.0,29200.0,29225.0,29220.030028090307,29025.0,,83721545.14256543,-3041084199.8318872,1483841009.4338043,-817037254.000415
2026-08-28T04:20:55+00:00,2026-08-28T11:20:55+07:00,QQQ,2026-08-28,721.11,110.1077807090473,1825279165.130453,5231184866.340338,730.0,721.0,720.0,717.451206142252,715.0,,2781276185.1275735,-955997019.9971194,6276051359.8948,-1044866493.5544626
2026-08-28T04:21:02+00:00,2026-08-28T11:21:02+07:00,NDX,2026-08-28,29641.56,47.24925759860681,2376423953.573477,3896321919.00124,30000.0,29180.0,29500.0,29468.989746326955,29500.0,29175.35821579236,2995953065.675019,-619529112.1015426,4659864102.9966955,-763542183.9954559
2026-08-29T02:47:55+00:00,2026-08-29T09:47:55+07:00,QQQ,2026-08-31,716.43,55.266777778988995,677072397.5362688,5466684541.105489,720.0,710.0,720.0,694.4146671125957,700.0,495.1432303160956,1911124385.0829809,-1234051987.546712,7179328302.64157,-1712643761.5360816
2026-08-29T02:48:04+00:00,2026-08-29T09:48:04+07:00,NDX,2026-08-31,29433.428,35.89569883875978,-301873436.20155317,64037130.19524109,29600.0,29100.0,29100.0,,29150.0,19012.849626908555,618560947.7863197,-920434383.9878728,1441175515.8334832,-1377138385.6382418
2026-08-31T23:45:12+00:00,2026-09-01T06:45:12+07:00,QQQ,2026-08-31,716.84,119.66433893517421,2320038001.62745,5387348579.379541,717.0,716.0,717.0,495.0,700.0,,3644357992.7591457,-1324319991.1316957,7361653428.6657715,-1974304849.2862296
2026-08-31T23:45:16+00:00,2026-09-01T06:45:16+07:00,NDX,2026-08-31,29456.973,70.7191096019659,-460479888.7560792,306224018.5087826,29460.0,29450.0,29450.0,29430.645175580386,29150.0,,629021823.1088254,-1089501711.8649046,1676888182.5374596,-1370664164.028677
